 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/12/2022

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points","Per Game"
"107","Knut Ahlander","SMU","Sr.","M","17","22","49","12","0.449"
"108","Charlie Sharp","Western Mich.","Sr.","M","21","33","74","11","0.446"
"109","Carlo Agostinelli","Stanford","Jr.","F","19","20","45","5","0.444"
"","Alberto Anaya","Bowling Green","So.","F","12","12","27","3","0.444"
"","Quenzi Huerman","Seton Hall","Jr.","M","18","16","36","7","0.444"
"","Sam Robinson","Northern Ky.","Sr.","F","16","16","36","6","0.444"
"113","Palmer Ault","Butler","Fr.","F","19","19","43","10","0.442"
"","Sergio  Baena","Tulsa","Jr.","M","17","19","43","3","0.442"
"","Josemir Gomez","IUPUI","Fr.","F","19","19","43","9","0.442"
"116","Paolo Carroll","Yale","Sr.","F","15","22","50","8","0.440"
"","Milo Yosef","Marshall","Sr.","F","17","22","50","8","0.440"
"118","Matthew Bell","Marshall","Fr.","F","19","25","57","10","0.439"
"119","Christian Koffi","Kansas City","Jr.","F","16","28","64","5","0.438"
"","Yann Kouemi","Temple","Sr.","F","13","14","32","4","0.438"
"121","Malachi Jones","Lipscomb","Fr.","F","17","24","55","7","0.436"
"","Owen O'Malley","Creighton","Jr.","M","23","24","55","8","0.436"
"123","Scott Vatne","Elon","So.","M","19","17","39","3","0.436"
"124","Leo Afonso","Virginia","Jr.","F","19","30","69","7","0.435"
"125","Logan Dorsey","Gonzaga","So.","F","15","16","37","4","0.432"
"126","Bryan Iliohan","California Baptist","Sr.","F","21","25","58","7","0.431"
"127","Matthew Roou","Notre Dame","So.","F","17","15","35","4","0.429"
"","Andy Sanchez","Dayton","Sr.","M","17","15","35","5","0.429"
"","Oladayo Thomas","Santa Clara","Sr.","F","14","18","42","4","0.429"
"130","Luis Mueller","California Baptist","Jr.","F","21","26","61","8","0.426"
"131","Hayes Wood","Lipscomb","Sr.","F","19","23","54","8","0.426"
"132","Sam Eccles","Eastern Ill.","Jr.","F","16","17","40","5","0.425"
"","Alexander Petraeus","SMU","Fr.","F","16","17","40","4","0.425"
"134","Max Rogers","Yale","Fr.","M","16","14","33","1","0.424"
"","Liam Salmon","Marist","Sr.","M","16","14","33","2","0.424"
"","Ethan Stevenson","Longwood","So.","F","13","14","33","2","0.424"
"137","Maxi Hopfer","Duquesne","So.","F","19","25","59","5","0.424"
"138","Casper Grening","Kentucky","So.","M","21","33","78","11","0.423"
"139","Wilmer Cabrera","Butler","Sr.","F","18","23","55","6","0.418"
"","Jackson Wrobel","Wofford","So.","M","17","23","55","6","0.418"
"141","Jalen Anderson","UNCW","Sr.","F","17","15","36","5","0.417"
"","Stas Korzeniowski","Penn","So.","F","18","20","48","11","0.417"
"143","Emil Jaaskelainen","LIU","Jr.","F","15","27","65","12","0.415"
"144","Willem Ebbinge","Harvard","Jr.","M","16","17","41","3","0.415"
"","Oscar Haynes Brown","George Washington","Sr.","F","16","17","41","7","0.415"
"","Jeremy Montero","USC Upstate","Jr.","F","13","17","41","3","0.415"
"147","Robert Mejia","UC Irvine","Sr.","F","20","19","46","4","0.413"
"","Frantz Pierrot","UConn","Sr.","F","16","19","46","5","0.413"
"","Niall Reid-Stephen","Chicago St.","So.","F","16","19","46","4","0.413"
"150","Sebastian Cruz","Cal St. Fullerton","Jr.","M","19","21","51","8","0.412"
Reclassifying
"NR","Juri  Schlingmann","Merrimack","Sr.","F","17","31","50","10","0.620"
"NR","Johan Feilscher","Merrimack","Sr.","F","17","29","57","7","0.509"
"NR","Felipe Mendonca","Queens (NC)","Sr.","F","13","19","40","7","0.475"
"NR","Jacob Woznicki","Stonehill","Jr.","F","17","25","55","7","0.455"

NCAA Men's Soccer
Division IShots Per Game
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","ShAtt","Per Game"
"1","Emil Jaaskelainen","LIU","Jr.","F","15","65","4.33"
"2","Taylor Calheira","UMBC","Jr.","F","17","70","4.12"
"3","Christian Koffi","Kansas City","Jr.","F","16","64","4.00"
"4","Reece Allbaugh","Wright St.","So.","F","17","66","3.88"
"5","Camil Azzam Ruiz","Iona","Sr.","F","13","49","3.77"
"6","Casper Grening","Kentucky","So.","M","21","78","3.71"
"7","Leo Afonso","Virginia","Jr.","F","19","69","3.63"
"8","Alec Hughes","Massachusetts","Jr.","F","17","60","3.53"
"9","Eliot Goldthorp","Hofstra","So.","M","21","74","3.52"
"","Charlie Sharp","Western Mich.","Sr.","M","21","74","3.52"
"11","Gage Guerra","Army West Point","So.","F","15","51","3.40"
"12","Denis Krioutchenkov","Davidson","Fr.","F","17","57","3.35"
"","Kieran Richards","ETSU","Sr.","M","17","57","3.35"
"14","Paolo Carroll","Yale","Sr.","F","15","50","3.33"
"15","Kameron Lacey","Charlotte","Sr.","F","16","53","3.31"
"16","Alex Nagy","Vermont","Sr.","M","17","56","3.29"
"17","MD Myers","Rutgers","Sr.","F","21","69","3.29"
"18","Beau Leroux","San Jose St.","So.","M","19","62","3.26"
"19","Logan Farrington","Milwaukee","So.","F","16","52","3.25"
"20","Malachi Jones","Lipscomb","Fr.","F","17","55","3.24"
"","Jackson Wrobel","Wofford","So.","M","17","55","3.24"
"22","Lucca Dourado","UCF","Jr.","F","13","42","3.23"
"23","Jesus Barea","Missouri St.","Jr.","F","18","58","3.22"
"","Ben Stitz","Penn","Sr.","M","18","58","3.22"
"25","Bertin Jacquesson","Pittsburgh","Jr.","F","19","61","3.21"
"26","Joseph Melto Quiah","Dayton","Fr.","M","17","54","3.18"
"27","Jeremy Montero","USC Upstate","Jr.","F","13","41","3.15"
"28","Pablo Kawecki","Cleveland St.","Sr.","M","20","63","3.15"
"29","Bryson Baker","Howard","So.","F","15","47","3.13"
"30","Maxi Hopfer","Duquesne","So.","F","19","59","3.11"
"31","Wilmer Cabrera","Butler","Sr.","F","18","55","3.06"
"32","Matthew Bell","Marshall","Fr.","F","19","57","3.00"
"","Shakur Mohammed","Duke","So.","M","19","57","3.00"
"","Oladayo Thomas","Santa Clara","Sr.","F","14","42","3.00"
"35","Nathan Opoku","Syracuse","So.","F","25","74","2.96"
"36","Jelldrik Dallmann","Lipscomb","Sr.","F","17","50","2.94"
"","Milo Yosef","Marshall","Sr.","F","17","50","2.94"
"38","Luis Mueller","California Baptist","Jr.","F","21","61","2.90"
"39","Mason Tunbridge","San Diego","Sr.","M","19","55","2.89"
"40","Knut Ahlander","SMU","Sr.","M","17","49","2.88"
"41","Frantz Pierrot","UConn","Sr.","F","16","46","2.88"
"","Niall Reid-Stephen","Chicago St.","So.","F","16","46","2.88"
"43","Ryan Carmichael","Hofstra","Jr.","F","21","60","2.86"
"44","Jannis Schmidt","Cleveland St.","Sr.","M","19","54","2.84"
"","Hayes Wood","Lipscomb","Sr.","F","19","54","2.84"
"46","Tyrese Spicer","Lipscomb","Jr.","F","18","51","2.83"
"47","Omari Cotterell","La Salle","Sr.","F","17","48","2.82"
"48","Nicholas Kaloukian","Michigan","Fr.","F","16","45","2.81"
"49","AJ Franklin","Drake","Jr.","F","15","42","2.80"
"50","Borna Miklic","UMass Lowell","Sr.","F","14","39","2.79"
"51","Ryan Becher","UMBC","Sr.","M","18","50","2.78"
"","Billy Hency","Loyola Chicago","Sr.","M","18","50","2.78"
"53","Alessandro Arlotti","Harvard","So.","F","17","47","2.76"
"","Manny Day","Dayton","Sr.","F","17","47","2.76"
"55","Bryan Iliohan","California Baptist","Sr.","F","21","58","2.76"
"56","Albert Portas","Cleveland St.","Jr.","M","19","52","2.74"
"57","Duncan McGuire","Creighton","Jr.","F","24","65","2.71"
"58","Basit Umar","Dayton","Fr.","M","17","46","2.71"
"59","Rodrigo Almeida","Niagara","Sr.","F","20","54","2.70"
"","Bojan Kolevski","Cleveland St.","Jr.","F","20","54","2.70"
"61","Sebastian Andreassen","Central Ark.","Sr.","F","16","43","2.69"
"","Joshua Torres","UIC","So.","-","16","43","2.69"
"63","Sebastian Cruz","Cal St. Fullerton","Jr.","M","19","51","2.68"
"64","Stas Korzeniowski","Penn","So.","F","18","48","2.67"
"","Valentin Noel","Pittsburgh","Sr.","M","21","56","2.67"
"66","Lukas Hackaa","IUPUI","Jr.","M","20","53","2.65"
"","Roald Mitchell","Wake Forest","So.","M","20","53","2.65"
"68","Carlos Armendariz","CSU Bakersfield","Sr.","M","17","45","2.65"
"","Hale Lombard","Lafayette","Jr.","F","17","45","2.65"
"70","Stephen Afrifa","FIU","Sr.","F","19","50","2.63"
"71","Jordan Alonge","FDU","Sr.","M","18","47","2.61"
"","Demitrius Kigeya","Gonzaga","Sr.","F","18","47","2.61"
"","Beto Soto","Marquette","Jr.","F","18","47","2.61"
"","Gunnar Studenhofft","Manhattan","So.","F","18","47","2.61"
"75","Pablo Brimeux","Gardner-Webb","Fr.","F","15","39","2.60"
"","Jared Juleau","Marist","Jr.","M","15","39","2.60"
"77","Kelan Swales","Loyola Maryland","Sr.","F","17","44","2.59"
"78","Eythor Bjorgolfsson","Kentucky","Sr.","F","19","49","2.58"
"","Dylan Gaither","Mercer","Sr.","M","19","49","2.58"
"","Rhys Gourdie","San Diego","Jr.","M","19","49","2.58"
"81","JC Ngando","UNC Greensboro","So.","M","21","54","2.57"
"82","Willem Ebbinge","Harvard","Jr.","M","16","41","2.56"
"","Oscar Haynes Brown","George Washington","Sr.","F","16","41","2.56"
"84","Logan Finnegan","IUPUI","Jr.","F","18","46","2.56"
"85","Jackson Castro","Creighton","So.","M","22","56","2.55"
"86","Ethan Stevenson","Longwood","So.","F","13","33","2.54"
"87","Davi Alves","FGCU","Sr.","M","15","38","2.53"
"","Alex Meinhard","Tulsa","Jr.","F","15","38","2.53"
"89","Sergio  Baena","Tulsa","Jr.","M","17","43","2.53"
"","Sokol Ymeraj","St. Francis Brooklyn","Sr.","M","17","43","2.53"
"91","Brandon Morales","Cornell","Sr.","M","19","48","2.53"
"92","Jacob Murrell","Georgetown","Fr.","F","21","53","2.52"
"93","Sam Eccles","Eastern Ill.","Jr.","F","16","40","2.50"
"","Nicolo Mulatero","Missouri St.","Sr.","F","18","45","2.50"
"","Alexander Petraeus","SMU","Fr.","F","16","40","2.50"
"","Samory Powder","Detroit Mercy","Jr.","F","16","40","2.50"
"","Ryan Wittenbrink","Indiana","Sr.","F","24","60","2.50"
"98","Forster Ajago","Dayton","Sr.","F","17","42","2.47"
"","Sam Presser","UNC Asheville","Fr.","M","17","42","2.47"
"100","Logan Dorsey","Gonzaga","So.","F","15","37","2.47"
"","Tarik Pannholzer","ETSU","Jr.","F","15","37","2.47"
"102","Yann Kouemi","Temple","Sr.","F","13","32","2.46"
"103","Alvaro Garcia-Pascual","Coastal Carolina","So.","F","16","39","2.44"
"","Nathan Lam","VMI","Sr.","M","16","39","2.44"
"105","Brandon Cambridge","Portland","So.","M","21","51","2.43"
"106","Martin Vician","Harvard","Sr.","F","17","41","2.41"
"107","Daniel Espeleta","Fordham","Sr.","M","15","36","2.40"
"","Mathis Pilon St-Louis","Omaha","Fr.","F","15","36","2.40"
"109","Owen O'Malley","Creighton","Jr.","M","23","55","2.39"
"110","Dylan Sing","Western Mich.","Sr.","M","21","50","2.38"
"111","Theo Klein","Omaha","Jr.","M","16","38","2.38"
"","Sergi Martinez","Bowling Green","Sr.","F","16","38","2.38"
"113","Carlo Agostinelli","Stanford","Jr.","F","19","45","2.37"
"","Nacho Diaz Barragan","Evansville","So.","F","19","45","2.37"
"115","Felipe D'Agostini","Oral Roberts","So.","M","17","40","2.35"
"116","Bernardo Dos Santos Monteiro","FIU","So.","F","20","47","2.35"
"117","Mateo Leveque","UConn","So.","M","15","35","2.33"
"118","Malik Henry-Scott","Tulsa","Jr.","F","16","37","2.31"
"","Maximus Rigby","Saint Francis (PA)","So.","M","16","37","2.31"
"120","Luis Garcia","Providence","Sr.","M","13","30","2.31"
"121","Robert Mejia","UC Irvine","Sr.","F","20","46","2.30"
"122","Joe Kouadio","Wright St.","Sr.","F","17","39","2.29"
"","Dominic Valdivia","San Francisco","Sr.","M","17","39","2.29"
"124","Alexander Levengood","William & Mary","Sr.","M","18","41","2.28"
"","Ousmane Sylla","Clemson","Jr.","M","18","41","2.28"
"126","Ben Zakowski","Monmouth","Sr.","F","15","34","2.27"
"127","Palmer Ault","Butler","Fr.","F","19","43","2.26"
"","Ashish Chattha","UC Irvine","Sr.","M","19","43","2.26"
"","Josemir Gomez","IUPUI","Fr.","F","19","43","2.26"
"130","Alberto Anaya","Bowling Green","So.","F","12","27","2.25"
"","Xavier Green","Ohio St.","Sr.","M","20","45","2.25"
"","Brendan Herb","UNC Asheville","Jr.","M","16","36","2.25"
"","Sam Robinson","Northern Ky.","Sr.","F","16","36","2.25"
"134","Nigel Buckley","La Salle","Sr.","F","18","40","2.22"
"135","Adam Aoumaich","Marshall","Jr.","F","19","42","2.21"
"136","Jonas Bickus","Stony Brook","So.","F","15","33","2.20"
"","Olivier Correa","Jacksonville","Jr.","M","15","33","2.20"
"","Tyler Marquez","Cal St. Fullerton","Jr.","M","15","33","2.20"
"","Gino Vivi","UCF","Sr.","F","10","22","2.20"
"140","Oliver Svalander","Hofstra","Jr.","F","21","46","2.19"
"","Tomas Svecula","Quinnipiac","Sr.","F","21","46","2.19"
"142","Deryn Armstrong","Northern Ky.","Jr.","M","16","35","2.19"
"","Vincent Bennage","Davidson","So.","F","16","35","2.19"
"","Iker Carew","Col. of Charleston","Fr.","F","16","35","2.19"
"","Malik Pinto","Princeton","Jr.","M","16","35","2.19"
"","Jack Sarkos","Lehigh","Sr.","F","16","35","2.19"
"147","Marc Torrellas","Loyola Chicago","Sr.","D","17","37","2.18"
"148","Ethan Hoard","UC Davis","Jr.","F","18","39","2.17"
"","Riley Lynch","Saint Mary's (CA)","So.","M","18","39","2.17"
"150","Levonte Johnson","Syracuse","Sr.","F","25","54","2.16"
Reclassifying
"NR","Johan Feilscher","Merrimack","Sr.","F","17","57","3.35"
"NR","Jacob Woznicki","Stonehill","Jr.","F","17","55","3.24"
"NR","Felipe Mendonca","Queens (NC)","Sr.","F","13","40","3.08"
"NR","Juri  Schlingmann","Merrimack","Sr.","F","17","50","2.94"

NCAA Men's Soccer
Division ITotal Saves
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Goalie GP","Saves"
"1","Michael Sly Jr.","Oakland","So.","GK","0","98"
"2","Jonathan Kliewer","Detroit Mercy","So.","GK","0","93"
"3","William Howard","Canisius","Sr.","GK","0","90"
"4","Alex Aitken","Houston Christian","Fr.","GK","0","88"
"","Ethan Russell","Mount St. Mary's","Jr.","GK","1","88"
"","Chad Smith","Eastern Ill.","So.","GK","2","88"
"7","Domenic Nascimben","Duquesne","Sr.","GK","0","85"
"8","Gabe Calhoun","VMI","Sr.","GK","0","84"
"","Greg Monroe","Siena","Sr.","GK","0","84"
"10","JR Gawel","Howard","Fr.","GK","0","82"
"","Carlos Gonzalez","UC Riverside","Jr.","GK","0","82"
"12","Luca Bulfon","USC Upstate","Sr.","GK","1","81"
"13","Owen Finnerty","Michigan St.","Sr.","GK","0","79"
"14","Rotem Fadida","Hartford","Jr.","GK","0","78"
"","Paul Kruse","Creighton","Sr.","GK","2","78"
"16","Akili Kasim","Seattle U","Sr.","GK","0","77"
"","Colin Welsh","Memphis","So.","GK","2","77"
"","Cooper Wenzel","CSUN","So.","GK","0","77"
"19","Hunter Morse","Western Mich.","Sr.","GK","0","76"
"","Michael Statham","Old Dominion","Fr.","GK","0","76"
"","Joe van der Sar","Pittsburgh","Sr.","GK","0","76"
"22","Jordaine Jaeger","Saint Francis (PA)","Fr.","GK","1","75"
"23","Lucas Morefield","IUPUI","Jr.","GK","0","74"
"24","James Anderson","Fairfield","Jr.","GK","0","73"
"25","Guillem Badenes Mecho","Saint Peter's","Sr.","GK","1","72"
"","Gandhi Cruz","DePaul","Jr.","GK","0","72"
"","Johan Garibay","Gonzaga","Jr.","GK","0","72"
"","Russell Shealy","Syracuse","Sr.","GK","0","72"
"29","Ben Roberts","Furman","Sr.","GK","1","71"
"30","Gunther Rankenburg","Georgia St.","Sr.","GK","0","70"
"","Leroy Zeller","UC Santa Barbara","Jr.","GK","0","70"
"32","Pierce Holbrook","Navy","So.","GK","3","69"
"","Luca Marinelli","Bryant","So.","GK","0","69"
"","Jackson Weyman","South Fla.","Sr.","GK","2","69"
"35","Cooper Clark","Kansas City","Sr.","GK","0","68"
"","Sebastian Conlon","James Madison","Fr.","GK","0","68"
"","Jacob Heihsel","UMass Lowell","Sr.","GK","1","68"
"38","Gabriel Perrotta","UNCW","Sr.","GK","0","67"
"","Matt Zambetti","Massachusetts","Sr.","GK","0","67"
"40","Nick Burke","Bradley","Jr.","GK","5","66"
"","Guillaume Veinante","Rider","Sr.","GK","0","66"
"42","Gabriel Gjergji","Butler","Sr.","GK","0","65"
"","George Tasouris","Portland","Sr.","GK","0","65"
"44","Holden Brown","Virginia","So.","GK","0","64"
"","Kent Dickey","Villanova","Sr.","GK","0","64"
"","Alex Flowers","Western Ill.","Jr.","GK","0","64"
"","Christian Garner","Northwestern","Sr.","GK","0","64"
"","David Sweeney","San Jose St.","Sr.","GK","0","64"
"49","Nate Crockford","UCLA","So.","GK","0","63"
"","Luke Pruter","UC Irvine","Jr.","GK","0","63"
"","Leo Stritter","Presbyterian","Fr.","GK","1","63"
"52","Jonathan Burke","Drake","Sr.","GK","1","62"
"","Jason Dubrovich","San Diego","Sr.","GK","0","62"
"54","Alessandro Capogna","Drexel","Jr.","GK","1","61"
"","Costi Christodoulou","Dartmouth","So.","GK","0","61"
"","Hugo Constant","UIW","Fr.","F","1","61"
"","Tetsuya Kadono","Cal St. Fullerton","Jr.","GK","0","61"
"","Karl Netzell","Quinnipiac","Fr.","GK","1","61"
"","Kris Shakes","Penn St.","Sr.","GK","0","61"
"","Adam Vik","Delaware","Fr.","GK","1","61"
"","Shafique Wilson","UAlbany","Jr.","GK","0","61"
"62","Justin Grady","George Washington","Sr.","GK","0","60"
"","Eliot Hamill","Duke","Sr.","GK","0","60"
"","Colby Hegarty","Northeastern","Jr.","GK","0","60"
"","Jack Hudson","UAB","Sr.","GK","1","60"
"","Joseba Incera","Radford","Sr.","GK","1","60"
"67","Jeremy Coste","Oral Roberts","Sr.","GK","0","59"
"","Cole Jensen","Xavier","Sr.","GK","9","59"
"","Spencer King","FDU","Sr.","GK","0","59"
"","Ben Martino","Virginia Tech","So.","GK","0","59"
"","Mats Roorda","Binghamton","Sr.","GK","1","59"
"72","Juan Alfaro Monge","Iona","So.","GK","0","58"
"","Filippo Dadone","CSU Bakersfield","Jr.","GK","0","58"
"","Eoin Gawronski","Temple","Jr.","GK","0","58"
"","Jake  Langley","George Mason","Sr.","GK","1","58"
"","Holden Trent","High Point","Sr.","GK","0","58"
"","Mitchell Wilson","LMU (CA)","Sr.","GK","0","58"
"78","Tobias Jahn","Green Bay","So.","GK","0","57"
"","Nolan Premack","California Baptist","Jr.","GK","0","57"
"","Ryan Schewe","Georgetown","Jr.","GK","0","57"
"81","Michael Collodi","Columbia","Sr.","GK","0","56"
"","Alec McLachlan","St. Francis Brooklyn","Fr.","GK","0","56"
"","Samuel Reisgys","NJIT","Sr.","GK","0","56"
"","Hannes Ronnholmen","Seton Hall","Sr.","GK","1","56"
"","Justin Siegel","Sacred Heart","Sr.","GK","0","56"
"86","Ben Alexander","South Carolina","Fr.","GK","0","54"
"","Max Hinke","Rhode Island","Fr.","GK","7","54"
"","Eric Waltz","San Francisco","Jr.","GK","0","54"
"89","Carter Abbott","Wisconsin","Sr.","GK","0","53"
"","John Byszewski","Air Force","Sr.","GK","0","53"
"","Ciaran Dalton","Rutgers","Fr.","GK","0","53"
"","Owen Jack","Stetson","Jr.","GK","0","53"
"","Keagan McLaughlin","Ohio St.","Sr.","GK","0","53"
"","Andrew Sway","UNLV","Jr.","GK","0","53"
"","Alex Vidizzoni","Evansville","Sr.","GK","0","53"
"","Henrik Weiper","Brown","Fr.","GK","0","53"
"97","Jacob Castro","San Diego St.","Jr.","GK","0","52"
"","Sam Ilin","Marist","Sr.","GK","0","52"
"","Trevor McMullen","Mercer","Jr.","GK","0","52"
"","Francesco Montali","Boston U.","Sr.","GK","10","52"
"","Javier Ramirez","Gardner-Webb","Fr.","GK","4","52"
"102","Mitch Budler","Akron","Fr.","GK","1","51"
"","Jules Dechert","St. Bonaventure","Jr.","GK","1","51"
"","Elian Haddock","Yale","Sr.","GK","0","51"
"","Lucas Hatsios","NC State","So.","GK","0","51"
"","Quantrell Jones","UMBC","Sr.","GK","1","51"
"","Nate Logan","Belmont","Sr.","GK","0","51"
"","Luis Ludosan","Saint Joseph's","Jr.","GK","7","51"
"","Oskar Nilsson","Harvard","Sr.","GK","0","51"
"110","Eric Cotton","Pacific","Sr.","GK","1","50"
"","Leon Schmidt","Grand Canyon","So.","GK","0","50"
"","Collin Travasos","California","Jr.","GK","0","50"
"","Cameron Victor","Wofford","Jr.","GK","0","50"
"114","Gianluca Cersosimo","LIU","Sr.","GK","0","49"
"","Wyatt Kistner","FGCU","Jr.","GK","0","49"
"","Carlos Tofern","Saint Louis","Sr.","GK","1","49"
"","Josh Tubbs","Holy Cross","So.","GK","2","49"
"118","John Ermini","VCU","So.","GK","0","48"
"","JT Harms","Indiana","Jr.","GK","0","48"
"","Juanvi Muñoz","UCF","Fr.","GK","1","48"
"","Oliver Semmle","Marshall","Sr.","GK","0","48"
"","Nathan Silveira","Vermont","Sr.","GK","1","48"
"","Daniel Wilmore","Central Conn. St.","Sr.","GK","0","48"
"124","Nick Christoffersen","Penn","Sr.","GK","0","47"
"","Andrew Cooke","Colgate","Jr.","GK","2","47"
"","Alexandre Durand","Longwood","Sr.","GK","0","47"
"","Martin Sanchez","NIU","Sr.","GK","0","47"
"","Zach Schawl","Central Ark.","Jr.","GK","0","47"
"","Gijs Van Schouten","Milwaukee","So.","GK","0","47"
"130","Joseph Andema","Clemson","Fr.","GK","0","46"
"","Alex Lopez","Tulsa","So.","GK","1","46"
"","Dagoberto Romero","Ga. Southern","Fr.","GK","0","46"
"133","Joey Batrouni","Coastal Carolina","So.","GK","0","45"
"","Eryk Dymora","Monmouth","So.","GK","1","45"
"","Sebastian Jimenez","Wright St.","Sr.","GK","0","45"
"","Marco Seyfert","Chicago St.","Sr.","GK","0","45"
"","Wessel Speel","Hofstra","Jr.","GK","0","45"
"","Niclas Wild","UNC Greensboro","Jr.","GK","0","45"
"139","Dario Caetano","Dayton","Jr.","GK","1","44"
"","Hayden Evans","Michigan","So.","GK","0","44"
"","Friedrich Petrelli","Robert Morris","So.","GK","1","44"
"","Michael Sibley","Lipscomb","Sr.","GK","0","44"
"","Neil Strauber","Fla. Atlantic","Sr.","GK","1","44"
"144","Trace Alphin","Wake Forest","So.","GK","0","43"
"","Bryan Dowd","Notre Dame","Jr.","GK","0","43"
"","Ryan Friedberg","Cornell","Fr.","GK","1","43"
"","Brendan Graves","Bowling Green","Jr.","GK","0","43"
"","Danilo Nikcevic","William & Mary","Sr.","GK","0","43"
"","Harry Townsend","Missouri St.","Jr.","GK","1","43"
"150","Zenden Hart","St. John's (NY)","Fr.","GK","0","42"
"","Tomas Hut","Army West Point","So.","GK","1","42"
"","Omeed Naeemy","Cleveland St.","Sr.","GK","0","42"
"","Alex Sutton","Lafayette","Sr.","GK","2","42"
Reclassifying
"NR","Alvaro Rodriguez","Merrimack","So.","GK","1","92"
"NR","Alec Meissner","Southern Ind.","Jr.","GK","1","73"
"NR","Dominic Peters","UC San Diego","Sr.","GK","0","60"
"NR","Tucker Mann","St. Thomas (MN)","Jr.","GK","0","59"
"NR","Meldin Sabotic","Lindenwood","Fr.","GK","0","55"
"NR","Ryan Coutu","Stonehill","Jr.","GK","0","53"
"NR","Matthew Brozovich","Bellarmine","Sr.","GK","0","49"
"NR","Carlos Dias Neto","Stonehill","Fr.","GK","0","42"

NCAA Men's Soccer
Division IShots on Goal Per Game
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","SoG","Per Game"
"1","Reece Allbaugh","Wright St.","So.","F","17","33","1.94"
"2","Bryson Baker","Howard","So.","F","15","29","1.93"
"3","MD Myers","Rutgers","Sr.","F","21","40","1.90"
"4","Taylor Calheira","UMBC","Jr.","F","17","32","1.88"
"","Denis Krioutchenkov","Davidson","Fr.","F","17","32","1.88"
"6","Alec Hughes","Massachusetts","Jr.","F","17","31","1.82"
"7","Gage Guerra","Army West Point","So.","F","15","27","1.80"
"","Emil Jaaskelainen","LIU","Jr.","F","15","27","1.80"
"9","Eliot Goldthorp","Hofstra","So.","M","21","37","1.76"
"10","Christian Koffi","Kansas City","Jr.","F","16","28","1.75"
"11","Kameron Lacey","Charlotte","Sr.","F","16","27","1.69"
"12","Duncan McGuire","Creighton","Jr.","F","24","40","1.67"
"13","Alex Nagy","Vermont","Sr.","M","17","28","1.65"
"14","Lucca Dourado","UCF","Jr.","F","13","21","1.62"
"15","Ryan Becher","UMBC","Sr.","M","18","29","1.61"
"16","Leo Afonso","Virginia","Jr.","F","19","30","1.58"
"17","Casper Grening","Kentucky","So.","M","21","33","1.57"
"","Charlie Sharp","Western Mich.","Sr.","M","21","33","1.57"
"19","Ben Stitz","Penn","Sr.","M","18","28","1.56"
"20","Kieran Richards","ETSU","Sr.","M","17","26","1.53"
"21","Sebastian Andreassen","Central Ark.","Sr.","F","16","24","1.50"
"","Logan Farrington","Milwaukee","So.","F","16","24","1.50"
"","Bojan Kolevski","Cleveland St.","Jr.","F","20","30","1.50"
"","Alexander Levengood","William & Mary","Sr.","M","18","27","1.50"
"25","Paolo Carroll","Yale","Sr.","F","15","22","1.47"
"","Alex Meinhard","Tulsa","Jr.","F","15","22","1.47"
"27","Camil Azzam Ruiz","Iona","Sr.","F","13","19","1.46"
"28","Rodrigo Almeida","Niagara","Sr.","F","20","29","1.45"
"29","Alessandro Arlotti","Harvard","So.","F","17","24","1.41"
"","Malachi Jones","Lipscomb","Fr.","F","17","24","1.41"
"","Sokol Ymeraj","St. Francis Brooklyn","Sr.","M","17","24","1.41"
"32","Pablo Brimeux","Gardner-Webb","Fr.","F","15","21","1.40"
"","Roald Mitchell","Wake Forest","So.","M","20","28","1.40"
"","Ben Zakowski","Monmouth","Sr.","F","15","21","1.40"
"35","Nicolo Mulatero","Missouri St.","Sr.","F","18","25","1.39"
"36","Valentin Noel","Pittsburgh","Sr.","M","21","29","1.38"
"37","Alvaro Garcia-Pascual","Coastal Carolina","So.","F","16","22","1.38"
"","Shaun Joash","Grand Canyon","Sr.","F","16","22","1.38"
"","Ryan Wittenbrink","Indiana","Sr.","F","24","33","1.38"
"40","Eythor Bjorgolfsson","Kentucky","Sr.","F","19","26","1.37"
"","Mason Tunbridge","San Diego","Sr.","M","19","26","1.37"
"42","Nathan Opoku","Syracuse","So.","F","25","34","1.36"
"43","Felipe D'Agostini","Oral Roberts","So.","M","17","23","1.35"
"","Jelldrik Dallmann","Lipscomb","Sr.","F","17","23","1.35"
"","Martin Vician","Harvard","Sr.","F","17","23","1.35"
"","Jackson Wrobel","Wofford","So.","M","17","23","1.35"
"47","Ismail El Harchi","UNC Greensboro","Sr.","F","20","27","1.35"
"48","David Bercedo","Quinnipiac","Sr.","F","21","28","1.33"
"","Ryan Carmichael","Hofstra","Jr.","F","21","28","1.33"
"","Daniel Espeleta","Fordham","Sr.","M","15","20","1.33"
"","Billy Hency","Loyola Chicago","Sr.","M","18","24","1.33"
"","Beto Soto","Marquette","Jr.","F","18","24","1.33"
"53","Matthew Bell","Marshall","Fr.","F","19","25","1.32"
"","Maxi Hopfer","Duquesne","So.","F","19","25","1.32"
"","Beau Leroux","San Jose St.","So.","M","19","25","1.32"
